form_id,field_id,Name,Course title,Question,Answer,Get Real,Fill Buckets,Be Intentional,Foster Grit,Drive Growth,Alignment,Accountability,Communication,Leadership,Execution,FUSION Relationship Summary,COR Relationship Summary
398.0,28.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,14.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,12. Rate how well the employee communicates.,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,Tertiary: Get Real,"Primary: Communication, Leadership; Secondary: Execution"
398.0,29.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,15.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"13. Rate how well the employee helps others achieve a â€œfuller bucketâ€_x009d_; more fulfilled, positive, engaged, and empowered within their roles.",-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,30.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,16.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"14. Rate how well the employee overcomes challenges, troubleshoots, problem-solves, and/or perseveres through difficult situations.",-,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.5,1.0,0.5,Secondary: Foster Grit,"Primary: Leadership; Secondary: Communication, Execution; Tertiary: Alignment, Accountability"
398.0,31.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,17.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,15. Rate how well the employee role models practices or behaviors which are promoted within the team or organization.,-,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Alignment, Communication, Execution"
398.0,32.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,34.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,1. Rate how well the employee â€œshows upâ€_x009d_ with core values.,-,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,Secondary: Get Real,"Primary: Alignment, Leadership; Secondary: Communication, Execution"
398.0,67.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,68.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,2. Rate how well the employee fulfills required expectations and responsibilities.,-,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Accountability, Leadership; Secondary: Communication, Execution"
398.0,82.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,69.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"3. Rate how well the employee exhibits intentionality with engagements to effectively manage time, resources, and workload.",-,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.5,1.0,0.5,Secondary: Be Intentional,"Primary: Leadership; Secondary: Communication, Execution; Tertiary: Accountability"
398.0,83.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,70.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,4. Rate how well the employee seeks out and/or takes advantage of opportunities to grow and develop.,-,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.5,1.0,0.5,Secondary: Drive Growth,"Primary: Leadership; Secondary: Communication, Execution; Tertiary: Alignment"
398.0,84.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,71.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,5. Rate how responsive the employee is to developmental feedback.,-,0.5,0.0,0.0,0.0,0.5,0.25,0.0,1.0,1.0,0.5,"Secondary: Get Real, Drive Growth","Primary: Communication, Leadership; Secondary: Execution; Tertiary: Alignment"
398.0,85.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,72.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,6. Rate how well the employee listens to direction and follows through with action.,-,0.0,0.0,0.5,0.0,0.0,0.5,0.25,0.5,1.0,1.0,Secondary: Be Intentional,"Primary: Leadership, Execution; Secondary: Alignment, Communication; Tertiary: Accountability"
398.0,86.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,73.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"7. Rate how well the employee contributes to a safe, secure, and protected work environment for you and the team.",-,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Alignment, Communication, Execution"
398.0,87.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,74.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"8. Rate how well the employee contributes to a fair, equitable, and inclusive work environment.",-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,88.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,75.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,9. Rate how well the employee displays empathy and emotional intelligence within the team.,-,1.0,1.0,0.25,0.25,0.25,0.5,0.5,1.0,1.0,0.5,"Primary: Get Real, Fill Buckets; Tertiary: Be Intentional, Foster Grit, Drive Growth","Primary: Communication, Leadership; Secondary: Alignment, Accountability, Execution"
398.0,89.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,76.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,10. Rate how well the employee contributes to social connection and a sense of belonging within the team.,-,0.25,1.0,0.0,0.25,0.0,0.5,0.5,0.5,1.0,0.5,"Primary: Fill Buckets; Tertiary: Get Real, Foster Grit","Primary: Leadership; Secondary: Alignment, Accountability, Communication, Execution"
398.0,90.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,77.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"11. Rate how well the employee provides recognition, affirmation, respect, and appreciation (RaRa) within the team.",-,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Alignment, Communication, Execution"
398.0,91.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,78.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,12. Rate how well the employee communicates.,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,Tertiary: Get Real,"Primary: Communication, Leadership; Secondary: Execution"
398.0,92.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,79.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"13. Rate how well the employee helps others achieve a â€œfuller bucketâ€_x009d_; more fulfilled, positive, engaged, and empowered within their roles.",-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,93.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,80.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"14. Rate how well the employee overcomes challenges, troubleshoots, problem-solves, and/or perseveres through difficult situations.",-,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.5,1.0,0.5,Secondary: Foster Grit,"Primary: Leadership; Secondary: Communication, Execution; Tertiary: Alignment, Accountability"
398.0,94.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,81.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,15. Rate how well the employee role models practices or behaviors which are promoted within the team or organization.,-,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Alignment, Communication, Execution"
398.0,95.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,97.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,1. Rate how well your manager â€œshows upâ€_x009d_ with core values.,-,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,Secondary: Get Real,"Primary: Alignment, Leadership; Secondary: Communication, Execution"
398.0,117.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,100.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,"2. Rate how well your manager establishes roles, responsibilities, and measures of success.",-,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Accountability, Leadership; Secondary: Communication, Execution"
398.0,118.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
398.0,99.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,3. Rate how well your manager provides opportunities for growth and development.,-,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.5,1.0,0.5,Secondary: Drive Growth,"Primary: Leadership; Secondary: Communication, Execution; Tertiary: Alignment"
398.0,119.0,scott-gusso,24 - Course - Topic : Interactive 360 Performance Review Tool,Untitled,-,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,Tertiary: Get Real,"Primary: Leadership; Secondary: Communication, Execution"
